asset_id,storage,zone,technology,installed_power_mw,p_nom_max_mw,max_hours,capital_cost,marginal_cost,efficiency_store,efficiency_dispatch,standing_loss,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count
bess_6h_nelson,bess_6h,nelson,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_nelson,bess_8h,nelson,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_marlborough,bess_2h,marlborough,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_marlborough,bess_4h,marlborough,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_marlborough,bess_6h,marlborough,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_marlborough,bess_8h,marlborough,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_west_coast,bess_2h,west_coast,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_west_coast,bess_4h,west_coast,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_west_coast,bess_6h,west_coast,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_west_coast,bess_8h,west_coast,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_canterbury,bess_2h,canterbury,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_canterbury,bess_4h,canterbury,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_canterbury,bess_6h,canterbury,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_canterbury,bess_8h,canterbury,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_otago,bess_2h,otago,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_otago,bess_4h,otago,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_otago,bess_6h,otago,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_otago,bess_8h,otago,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_southland,bess_2h,southland,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_southland,bess_4h,southland,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_southland,bess_6h,southland,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_southland,bess_8h,southland,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
