scenario,year,zone,component,enabled,growth_factor,annual_energy_mwh,unit_count,energy_per_unit_kwh_per_year,profile_type,demand_type
RH_partial,2030,punta_arenas_1,cooking,TRUE,,,2871,600,cooking,electricity
RH_partial,2030,punta_arenas_1,process_electrification,TRUE,,1500,,,process_electrification,electricity
RH_full_ptx,2030,punta_arenas_1,base_load,TRUE,1.104081,,,,base_2025,electricity
RH_full_ptx,2030,punta_arenas_1,ev,TRUE,,,71765,2000,ev,electricity
RH_full_ptx,2030,punta_arenas_1,heating,TRUE,,,57412,5000,heating,electricity
RH_full_ptx,2030,punta_arenas_1,cooking,TRUE,,,57412,600,cooking,electricity
RH_full_ptx,2030,punta_arenas_1,process_electrification,TRUE,,30000,,,process_electrification,electricity
RH_full_ptx,2030,punta_arenas_2,ptx_export,TRUE,,100000,,,constant,electricity
BAU_base,2040,punta_arenas_1,base_load,TRUE,1.345868,,,,base_2025,electricity
RT_base,2040,punta_arenas_1,base_load,TRUE,1.345868,,,,base_2025,electricity
RT_partial,2040,punta_arenas_1,base_load,TRUE,1.345868,,,,base_2025,electricity
RT_partial,2040,punta_arenas_1,ev,TRUE,,,17496,2000,ev,electricity
RT_partial,2040,punta_arenas_1,heating,TRUE,,,13997,5000,heating,electricity
RT_partial,2040,punta_arenas_1,cooking,TRUE,,,13997,600,cooking,electricity
RT_partial,2040,punta_arenas_1,process_electrification,TRUE,,12000,,,process_electrification,electricity
RT_full_ptx,2040,punta_arenas_1,base_load,TRUE,1.345868,,,,base_2025,electricity
RT_full_ptx,2040,punta_arenas_1,ev,TRUE,,,87481,2000,ev,electricity
RT_full_ptx,2040,punta_arenas_1,heating,TRUE,,,69985,5000,heating,electricity
RT_full_ptx,2040,punta_arenas_1,cooking,TRUE,,,69985,600,cooking,electricity
RT_full_ptx,2040,punta_arenas_1,process_electrification,TRUE,,60000,,,process_electrification,electricity
RT_full_ptx,2040,punta_arenas_2,ptx_export,TRUE,,300000,,,constant,electricity
RH_base,2040,punta_arenas_1,base_load,TRUE,1.345868,,,,base_2025,electricity
RH_partial,2040,punta_arenas_1,base_load,TRUE,1.345868,,,,base_2025,electricity
RH_partial,2040,punta_arenas_1,ev,TRUE,,,17496,2000,ev,electricity
RH_partial,2040,punta_arenas_1,heating,TRUE,,,13997,5000,heating,electricity
RH_partial,2040,punta_arenas_1,cooking,TRUE,,,13997,600,cooking,electricity
RH_partial,2040,punta_arenas_1,process_electrification,TRUE,,12000,,,process_electrification,electricity
RH_full_ptx,2040,punta_arenas_1,base_load,TRUE,1.345868,,,,base_2025,electricity
RH_full_ptx,2040,punta_arenas_1,ev,TRUE,,,87481,2000,ev,electricity
RH_full_ptx,2040,punta_arenas_1,heating,TRUE,,,69985,5000,heating,electricity
RH_full_ptx,2040,punta_arenas_1,cooking,TRUE,,,69985,600,cooking,electricity
RH_full_ptx,2040,punta_arenas_1,process_electrification,TRUE,,60000,,,process_electrification,electricity
RH_full_ptx,2040,punta_arenas_2,ptx_export,TRUE,,300000,,,constant,electricity
BAU_base,2050,punta_arenas_1,base_load,TRUE,1.640606,,,,base_2025,electricity
RT_base,2050,punta_arenas_1,base_load,TRUE,1.640606,,,,base_2025,electricity
RT_partial,2050,punta_arenas_1,base_load,TRUE,1.640606,,,,base_2025,electricity
RT_partial,2050,punta_arenas_1,ev,TRUE,,,63983,2000,ev,electricity
RT_partial,2050,punta_arenas_1,heating,TRUE,,,51187,5000,heating,electricity
RT_partial,2050,punta_arenas_1,cooking,TRUE,,,51187,600,cooking,electricity
RT_partial,2050,punta_arenas_1,process_electrification,TRUE,,60000,,,process_electrification,electricity
RT_full_ptx,2050,punta_arenas_1,base_load,TRUE,1.640606,,,,base_2025,electricity
RT_full_ptx,2050,punta_arenas_1,ev,TRUE,,,106639,2000,ev,electricity
RT_full_ptx,2050,punta_arenas_1,heating,TRUE,,,85312,5000,heating,electricity
RT_full_ptx,2050,punta_arenas_1,cooking,TRUE,,,85312,600,cooking,electricity
RT_full_ptx,2050,punta_arenas_1,process_electrification,TRUE,,100000,,,process_electrification,electricity
RT_full_ptx,2050,punta_arenas_2,ptx_export,TRUE,,700000,,,constant,electricity
RH_base,2050,punta_arenas_1,base_load,TRUE,1.640606,,,,base_2025,electricity
RH_partial,2050,punta_arenas_1,base_load,TRUE,1.640606,,,,base_2025,electricity
RH_partial,2050,punta_arenas_1,ev,TRUE,,,63983,2000,ev,electricity
RH_partial,2050,punta_arenas_1,heating,TRUE,,,51187,5000,heating,electricity
RH_partial,2050,punta_arenas_1,cooking,TRUE,,,51187,600,cooking,electricity
RH_partial,2050,punta_arenas_1,process_electrification,TRUE,,60000,,,process_electrification,electricity
RH_full_ptx,2050,punta_arenas_1,base_load,TRUE,1.640606,,,,base_2025,electricity
RH_full_ptx,2050,punta_arenas_1,ev,TRUE,,,106639,2000,ev,electricity
RH_full_ptx,2050,punta_arenas_1,heating,TRUE,,,85312,5000,heating,electricity
RH_full_ptx,2050,punta_arenas_1,cooking,TRUE,,,85312,600,cooking,electricity
RH_full_ptx,2050,punta_arenas_1,process_electrification,TRUE,,100000,,,process_electrification,electricity
RH_full_ptx,2050,punta_arenas_2,ptx_export,TRUE,,700000,,,constant,electricity
